ID|TIMESTAMP|USER|SOURCE_ACCOUNT|DEST_ACCOUNT|AMOUNT
1|2026-01-09 14:00:32|Fouad|ACC20|ACC15|8769
2|2026-01-10 22:58:39|Nadia|ACC8|ACC3|614
3|2026-01-13 01:50:30|John|ACC18|ACC1|1628
4|2026-01-13 03:31:44|Linda|ACC14|ACC12|7039
5|2026-01-15 13:12:56|Aarav|ACC10|ACC8|1049
6|2026-01-16 09:01:33|Walid|ACC3|ACC12|444
7|2026-01-18 03:43:54|Barbara|ACC18|ACC3|9774
8|2026-01-18 08:58:45|Charles|ACC18|ACC19|4404
9|2026-01-20 07:50:21|Lucia|ACC11|ACC4|1619
10|2026-01-20 13:36:49|Lucia|ACC6|ACC19|8789
11|2026-01-21 16:31:10|Mariam|ACC9|ACC18|3027
12|2026-01-25 02:31:56|Awa|ACC8|ACC11|1407
13|2026-01-25 19:31:32|Claire|ACC5|ACC15|3106
14|2026-01-28 14:36:05|Nadia|ACC6|ACC14|135
15|2026-01-29 05:02:11|Christine|ACC16|ACC3|871
16|2026-01-31 20:39:24|Mohamed|ACC3|ACC17|1233
17|2026-02-02 20:08:32|Karim|ACC4|ACC19|4471
18|2026-02-04 02:24:35|Sana|ACC19|ACC11|3583
19|2026-02-05 16:50:37|Nour|ACC3|ACC16|9116
20|2026-02-18 03:31:16|Talia|ACC12|ACC9|811
21|2026-02-21 12:21:13|Yuki|ACC4|ACC9|3239
22|2026-02-22 17:00:13|Thomas|ACC2|ACC5|1093
23|2026-02-23 08:01:33|Claire|ACC19|ACC9|206
24|2026-02-24 01:09:25|Ali|ACC3|ACC8|3911
25|2026-03-06 03:52:27|Patricia|ACC10|ACC18|3358
26|2026-03-06 21:55:07|Ali|ACC18|ACC7|9028
27|2026-03-12 10:40:27|Patricia|ACC20|ACC12|9559
28|2026-03-15 17:12:33|Nour|ACC16|ACC14|3219
29|2026-03-17 20:10:03|Dina|ACC19|ACC8|217
30|2026-03-23 04:03:12|Ali|ACC9|ACC8|3757
31|2026-03-23 13:16:59|Jamal|ACC12|ACC13|3532
32|2026-03-25 18:10:35|Jean|ACC15|ACC5|4439
33|2026-03-27 09:43:13|Richard|ACC3|ACC7|8851
34|2026-03-27 17:40:24|Sana|ACC18|ACC5|9455
35|2026-03-27 23:39:40|Vera|ACC15|ACC18|7497
36|2026-04-04 08:54:47|Jamal|ACC15|ACC13|4522
37|2026-04-04 16:43:37|Georges|ACC4|ACC14|1391
38|2026-04-06 21:17:02|Luc|ACC19|ACC13|6030
39|2026-04-08 05:48:46|Richard|ACC14|ACC11|4652
40|2026-04-09 23:20:12|Selma|ACC4|ACC11|7223
41|2026-04-18 02:02:11|Dina|ACC2|ACC12|6672
42|2026-04-20 08:28:32|Ahmed|ACC13|ACC9|7528
43|2026-04-21 03:59:31|Hana|ACC6|ACC15|9871
44|2026-04-21 12:01:49|Fatima|ACC17|ACC8|4662
45|2026-04-28 00:01:14|Jacques|ACC11|ACC17|419
46|2026-04-29 08:36:22|Leila|ACC14|ACC17|7986
47|2026-04-29 23:18:06|Elizabeth|ACC18|ACC8|5413
48|2026-05-02 20:01:03|Leila|ACC9|ACC18|7032
49|2026-05-04 07:42:40|Monique|ACC7|ACC11|6637
50|2026-05-06 19:23:42|Chen|ACC5|ACC6|7887
